image_id,species_id,common_name,scientific_name,filename,commons_title,license,license_url,artist,credit,source_url,thumb_url,file_size_bytes
91,26,Kokako,Callaeas wilsoni,kokako_757295.jpg,"File:Callaeas wilsoni, Tiritiri Matangi Island 1.jpg",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Duncan from Wellington, NZ",Kokako,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Callaeas_wilsoni%2C_Tiritiri_Matangi_Island_1.jpg/500px-Callaeas_wilsoni%2C_Tiritiri_Matangi_Island_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,50185
92,26,Kokako,Callaeas wilsoni,kokako_3ae55b.jpg,File:Callaeas wilsoni (North Island Kokako) (48719350586).jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Auckland Museum  Collections from Auckland, Aotearoa New Zealand",Callaeas wilsoni (North Island Kokako),,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b2/Callaeas_wilsoni_%28North_Island_Kokako%29_%2848719350586%29.jpg/500px-Callaeas_wilsoni_%28North_Island_Kokako%29_%2848719350586%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,23197
93,27,Black Robin,Petroica traversi,black_robin_2b3e50.jpg,File:Black Robin on Rangatira Island.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,frances schmechel,originally posted to Flickr as DSCF3430 black robin by NG,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Black_Robin_on_Rangatira_Island.jpg/500px-Black_Robin_on_Rangatira_Island.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,47399
94,27,Black Robin,Petroica traversi,black_robin_bdc439.jpg,File:Petroica traversi (AM LB2068).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Auckland Museum,http://www.aucklandmuseum.com/collections-research/collections/record/am_naturalsciences-object-131427,,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/Petroica_traversi_%28AM_LB2068%29.jpg/500px-Petroica_traversi_%28AM_LB2068%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,32380
95,28,Shore Plover,Thinornis novaeseelandiae,shore_plover_95801b.jpg,File:Charadrius novaeseelandiae 106906705.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Joe Dillon,https://www.inaturalist.org/photos/106906705,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/Charadrius_novaeseelandiae_106906705.jpg/500px-Charadrius_novaeseelandiae_106906705.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,30485
96,28,Shore Plover,Thinornis novaeseelandiae,shore_plover_91b74f.jpg,File:Thinornis novaeseelandiae 11959710.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Shaun Lee,https://www.inaturalist.org/photos/11959710,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Thinornis_novaeseelandiae_11959710.jpg/500px-Thinornis_novaeseelandiae_11959710.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,88981
97,29,Fairy Tern,Sternula nereis davisae,fairy_tern_338068.jpg,File:New Zealand Fairy Tern on shell-beach.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Tergiversation,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/New_Zealand_Fairy_Tern_on_shell-beach.jpg/500px-New_Zealand_Fairy_Tern_on_shell-beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,65036
98,29,Fairy Tern,Sternula nereis davisae,fairy_tern_e34438.jpg,File:New Zealand Fairy Tern on shell-beach (cropped).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Tergiversation,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/New_Zealand_Fairy_Tern_on_shell-beach_%28cropped%29.jpg/500px-New_Zealand_Fairy_Tern_on_shell-beach_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,71215
99,30,Chatham Island Taiko,Pterodroma magentae,chatham_island_taiko_dec3fe.jpg,File:OestrelataMagentaeKeulemans.jpg,Public domain,,John Gerrard Keulemans,Ornithological Miscellany. Volume 1,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/OestrelataMagentaeKeulemans.jpg/500px-OestrelataMagentaeKeulemans.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,43005
100,30,Chatham Island Taiko,Pterodroma magentae,chatham_island_taiko_022f69.jpg,File:Pterodroma magentae 1251791.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,John Barkla,https://www.inaturalist.org/photos/1251791,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/Pterodroma_magentae_1251791.jpg/500px-Pterodroma_magentae_1251791.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,78122
